Block_ID,X,Y,Z,Rock_Type,Ore_Grade (%),Tonnage,Ore_Value (¥/tonne),Mining_Cost (¥),Processing_Cost (¥),Waste_Flag,Profit (¥),Target
B10128,32,143,51,Magnetite,53.38,1695,250.86,46,25,0,304862.7,1
B10129,70,247,68,Hematite,57.58,1736,345.14,59,26,0,451603.04,1
B10130,55,179,80,Hematite,62.83,2780,251.59,36,21,0,540960.2,1
B10131,104,6,30,Magnetite,52.37,1728,313.55,60,38,0,372470.4,1
B10132,199,343,56,Hematite,52.44,2712,253.93,56,20,0,482546.16000000003,1
B10133,100,290,77,Magnetite,53.45,1397,346.08,41,39,0,371713.75999999995,1
B10134,255,205,86,Magnetite,58.13,1519,308.51,52,24,0,353182.69,1
B10135,306,67,92,Magnetite,62.97,2215,343.37,42,23,0,616589.55,1
B10136,73,360,78,Hematite,61.54,1838,309.79,54,37,0,402136.02,1
B10137,170,142,46,Magnetite,50.47,2214,307.82,36,37,0,519891.48,1
B10138,376,107,75,Magnetite,53.33,2135,307.6,69,37,0,430416.00000000006,1
B10139,142,184,96,Magnetite,58.3,1179,296.23,44,25,0,267904.17000000004,1
B10140,165,239,59,Hematite,51.41,2101,270.0,39,36,0,409695.0,1
B10141,398,150,93,Waste,0.0,2918,0.0,64,21,1,-248030.0,0
B10142,260,210,21,Magnetite,56.24,1315,278.26,54,37,0,246246.9,1
B10143,220,77,29,Waste,0.0,2096,0.0,39,29,1,-142528.0,0
B10144,82,474,31,Hematite,52.11,1209,322.78,57,39,0,274177.01999999996,1
B10145,181,227,83,Waste,0.0,2573,0.0,48,29,1,-198121.0,0
B10146,306,246,37,Magnetite,51.87,1733,263.03,55,38,0,294661.98999999993,1
B10147,9,380,83,Magnetite,57.06,2090,256.78,34,31,0,400820.19999999995,1
B10148,395,101,1,Hematite,58.16,1555,315.92,47,31,0,369965.60000000003,1
B10149,3,213,94,Waste,0.0,2223,0.0,42,38,1,-177840.0,0
B10150,350,138,63,Hematite,54.75,2188,321.3,35,25,0,571724.4,1
B10151,401,387,49,Magnetite,60.7,2981,319.43,33,24,0,782303.8300000001,1
B10152,335,185,54,Hematite,56.49,1490,338.7,51,33,0,379503.0,1
B10153,487,479,27,Hematite,54.9,1476,274.79,67,25,0,269798.04000000004,1
B10154,291,167,2,Waste,0.0,1628,0.0,58,35,1,-151404.0,0
B10155,280,488,58,Hematite,60.03,1670,266.12,44,22,0,334200.4,1
B10156,214,57,19,Magnetite,62.19,1413,303.56,56,20,0,321542.28,1
B10157,459,118,98,Magnetite,50.26,1870,275.4,42,31,0,378487.99999999994,1
B10158,97,87,61,Hematite,56.46,2961,299.61,31,38,0,682836.2100000001,1
B10159,419,121,62,Magnetite,60.13,1619,325.75,46,25,0,412440.25,1
B10160,100,481,18,Hematite,59.56,2260,310.84,40,31,0,542038.3999999999,1
B10161,450,243,5,Waste,0.0,1102,0.0,64,20,1,-92568.0,0
B10162,8,66,74,Hematite,57.22,2914,250.0,63,34,0,445842.0,1
B10163,60,293,44,Magnetite,54.54,1702,302.33,38,28,0,402233.66,1
B10164,308,129,69,Hematite,53.8,2847,289.02,30,29,0,654866.94,1
B10165,145,342,81,Hematite,52.83,1929,307.34,30,32,0,473260.8599999999,1
B10166,426,39,61,Waste,0.0,2740,0.0,48,39,1,-238380.0,0
B10167,418,211,77,Hematite,56.72,1624,297.63,41,26,0,374543.12,1
B10168,62,55,13,Hematite,51.55,2718,289.14,48,26,0,584750.52,1
B10169,120,199,64,Waste,0.0,2723,0.0,45,30,1,-204225.0,0
B10170,225,290,53,Hematite,64.16,2359,313.94,40,29,0,577813.46,1
B10171,104,304,80,Magnetite,58.21,1256,313.11,37,22,0,319162.16000000003,1
B10172,461,106,59,Magnetite,54.7,2027,301.39,68,25,0,422406.52999999997,1
B10173,259,194,77,Magnetite,61.8,2908,254.2,46,33,0,509481.6,1
B10174,348,351,30,Hematite,51.3,1003,314.59,46,28,0,241311.76999999996,1
B10175,424,121,44,Magnetite,62.86,1834,308.5,52,20,0,433741.0,1
B10176,254,94,73,Hematite,63.13,2404,329.66,53,28,0,597778.64,1
B10177,428,427,96,Magnetite,52.99,2801,300.87,63,23,0,601850.87,1
B10178,433,493,68,Magnetite,62.25,2817,274.95,46,37,0,540723.15,1
B10179,206,286,79,Waste,0.0,2401,0.0,54,39,1,-223293.0,0
B10180,27,124,19,Hematite,59.89,1258,339.5,48,28,0,331483.0,1
B10181,169,448,47,Hematite,60.65,1436,313.88,47,38,0,328671.68,1
B10182,335,331,21,Magnetite,62.05,2194,275.0,65,37,0,379562.0,1
B10183,75,125,39,Hematite,62.11,1661,308.03,45,37,0,375435.82999999996,1
B10184,115,401,80,Magnetite,63.89,1836,313.02,66,22,0,413136.72,1
B10185,68,343,49,Hematite,60.95,2434,264.0,31,25,0,506272.0,1
B10186,353,35,49,Hematite,61.79,1512,333.2,69,31,0,352598.39999999997,1
B10187,233,445,8,Magnetite,63.21,2463,311.02,61,25,0,554224.26,1
B10188,0,412,72,Magnetite,61.33,2958,252.02,46,24,0,538415.16,1
B10189,166,216,78,Waste,0.0,1006,0.0,42,38,1,-80480.0,0
B10190,351,406,51,Waste,0.0,1860,0.0,61,38,1,-184140.0,0
B10191,217,2,45,Hematite,58.02,2140,272.8,31,26,0,461812.0,1
B10192,272,29,77,Hematite,51.64,1509,251.1,51,25,0,264225.89999999997,1
B10193,367,464,72,Hematite,62.09,2178,307.27,57,23,0,494994.05999999994,1
B10194,250,254,8,Magnetite,59.13,1175,309.1,48,26,0,276242.5,1
B10195,346,44,32,Waste,0.0,1610,0.0,68,31,1,-159390.0,0
B10196,343,176,56,Magnetite,64.19,1631,280.59,54,24,0,330424.29,1
B10197,418,221,30,Hematite,55.79,2578,250.93,46,24,0,466437.54000000004,1
B10198,173,112,73,Magnetite,62.24,2204,295.98,46,37,0,469407.92000000004,1
B10199,169,121,73,Magnetite,63.14,2432,347.63,59,37,0,611964.16,1
B10200,245,274,38,Waste,0.0,2328,0.0,49,25,1,-172272.0,0
B10201,422,447,68,Hematite,64.35,1264,314.06,36,31,0,312283.84,1
B10202,89,388,81,Magnetite,64.35,1342,291.64,61,29,0,270600.88,1
B10203,48,231,52,Magnetite,56.77,1689,317.57,45,29,0,411389.73,1
B10204,445,311,96,Magnetite,59.61,2425,328.06,41,25,0,635495.5,1
B10205,293,417,81,Hematite,64.24,1391,317.47,43,37,0,330320.77,1
B10206,406,248,57,Waste,0.0,1443,0.0,30,21,1,-73593.0,0
B10207,149,328,75,Magnetite,62.37,1834,322.14,31,34,0,471594.75999999995,1
B10208,131,102,88,Waste,0.0,1024,0.0,59,21,1,-81920.0,0
B10209,432,175,63,Hematite,51.21,2415,275.87,38,32,0,497176.05,1
B10210,58,235,26,Hematite,51.77,2700,272.78,68,30,0,471905.99999999994,1
B10211,456,281,8,Hematite,64.03,1107,290.85,68,21,0,223447.95,1
B10212,323,244,48,Magnetite,61.14,2322,308.58,33,29,0,572558.76,1
B10213,198,132,63,Hematite,54.13,2321,341.34,63,35,0,564792.1399999999,1
B10214,214,343,76,Hematite,64.36,1220,276.75,43,24,0,255895.0,1
B10215,385,158,62,Hematite,53.56,1935,279.24,43,20,0,418424.4,1
B10216,48,279,21,Magnetite,53.72,2049,275.32,64,36,0,359230.68,1
B10217,471,340,1,Waste,0.0,1678,0.0,55,33,1,-147664.0,0
B10218,231,21,38,Hematite,62.21,2798,297.56,36,33,0,639510.88,1
B10219,246,101,56,Magnetite,64.27,1250,344.82,36,36,0,341025.0,1
B10220,381,149,78,Magnetite,50.29,1750,296.03,51,37,0,364052.49999999994,1
B10221,478,468,22,Magnetite,58.86,2270,281.03,46,28,0,469958.0999999999,1
B10222,238,56,61,Magnetite,57.25,2329,264.74,31,32,0,469852.46,1
B10223,414,157,12,Hematite,51.56,2662,269.09,45,34,0,506019.57999999996,1
B10224,366,368,46,Waste,0.0,1847,0.0,31,38,1,-127443.0,0
B10225,167,302,19,Hematite,52.72,1583,254.77,34,22,0,314652.91000000003,1
B10226,47,457,12,Hematite,52.15,2141,285.12,68,28,0,404905.92,1
B10227,50,194,54,Magnetite,53.21,1107,312.16,34,32,0,272499.12000000005,1
B10228,298,166,26,Hematite,62.83,1476,251.45,37,25,0,279628.2,1
B10229,97,476,80,Waste,0.0,1726,0.0,34,23,1,-98382.0,0
B10230,438,344,30,Magnetite,62.46,1096,305.76,33,24,0,272640.95999999996,1
B10231,215,193,89,Magnetite,60.78,1141,287.03,44,29,0,244208.22999999998,1
B10232,176,460,21,Waste,0.0,2829,0.0,68,20,1,-248952.0,0
B10233,379,346,31,Magnetite,52.1,1778,327.3,58,21,0,441477.4,1
B10234,473,412,63,Waste,0.0,1728,0.0,66,20,1,-148608.0,0
B10235,79,397,21,Hematite,52.47,1591,302.23,54,26,0,353567.93000000005,1
B10236,184,259,61,Hematite,61.38,1953,331.62,39,25,0,522661.86,1
B10237,366,199,91,Magnetite,55.85,2910,275.14,61,29,0,538757.3999999999,1
B10238,460,4,46,Waste,0.0,1104,0.0,40,25,1,-71760.0,0
B10239,398,299,0,Magnetite,62.1,1703,324.25,32,38,0,432987.75,1
B10240,26,90,67,Hematite,59.17,2752,273.84,68,29,0,486663.67999999993,1
B10241,451,23,79,Waste,0.0,1091,0.0,50,21,1,-77461.0,0
B10242,463,235,42,Magnetite,61.32,1013,313.84,40,27,0,250048.91999999998,1
B10243,447,234,86,Magnetite,51.57,2665,272.53,64,35,0,462457.44999999995,1
B10244,477,225,37,Waste,0.0,2595,0.0,37,34,1,-184245.0,0
B10245,491,27,40,Magnetite,60.31,2008,298.95,58,30,0,423587.6,1
B10246,413,151,99,Magnetite,61.07,1877,345.64,59,21,0,498606.27999999997,1
B10247,419,383,13,Waste,0.0,1603,0.0,34,27,1,-97783.0,0
B10248,194,245,2,Waste,0.0,2486,0.0,55,38,1,-231198.0,0
B10249,213,4,64,Waste,0.0,1797,0.0,62,39,1,-181497.0,0
B10250,368,12,43,Waste,0.0,1126,0.0,61,27,1,-99088.0,0
B10251,341,465,15,Magnetite,57.04,2745,287.6,62,31,0,534177.0000000001,1
B10252,113,54,7,Magnetite,59.96,2829,302.22,54,35,0,603199.3800000001,1
B10253,241,464,64,Magnetite,63.0,1779,300.12,38,37,0,400488.48,1
B10254,123,285,84,Hematite,62.77,1208,268.31,59,29,0,217814.48,1
B10255,304,101,61,Magnetite,55.07,1821,273.55,31,37,0,374306.55000000005,1
B10256,75,338,1,Magnetite,53.45,2335,344.76,65,28,0,587859.6,1
B10257,310,213,75,Hematite,59.16,1002,256.35,57,24,0,175700.7,1
B10258,468,432,77,Waste,0.0,2495,0.0,44,24,1,-169660.0,0
B10259,311,112,85,Hematite,57.09,1375,250.65,51,22,0,244268.75,1
B10260,195,337,55,Hematite,61.23,2591,254.68,62,24,0,437049.88,1
B10261,350,89,83,Magnetite,59.09,2970,262.89,59,38,0,492693.3,1
B10262,43,270,16,Waste,0.0,1201,0.0,63,33,1,-115296.0,0
B10263,414,246,60,Hematite,50.25,1007,312.31,31,38,0,245013.17,1
B10264,185,475,6,Hematite,61.42,2810,349.04,65,22,0,736332.4,1
B10265,342,29,84,Hematite,64.31,1871,329.1,68,23,0,445485.10000000003,1
B10266,245,27,33,Waste,0.0,2795,0.0,35,36,1,-198445.0,0
B10267,436,467,59,Waste,0.0,2018,0.0,60,35,1,-191710.0,0
B10268,83,387,21,Hematite,51.04,1942,265.58,69,32,0,319614.36,1
B10269,206,67,21,Magnetite,54.15,1478,324.39,67,38,0,324258.42,1
B10270,150,356,20,Waste,0.0,2504,0.0,57,34,1,-227864.0,0
B10271,155,142,12,Hematite,50.81,1478,340.77,54,37,0,369160.06,1
B10272,15,33,69,Magnetite,61.8,1656,348.52,58,24,0,441357.12,1
B10273,164,458,88,Magnetite,55.14,2308,278.53,49,39,0,439743.23999999993,1
B10274,404,470,43,Waste,0.0,2760,0.0,32,37,1,-190440.0,0
B10275,462,354,30,Hematite,56.82,2112,318.07,44,29,0,517587.83999999997,1
B10276,144,426,24,Hematite,54.63,2446,326.0,38,20,0,655528.0,1
B10277,497,226,95,Waste,0.0,1503,0.0,58,24,1,-123246.0,0
B10278,36,202,54,Magnetite,62.69,2558,340.22,37,28,0,704012.7600000001,1
B10279,332,60,28,Waste,0.0,2374,0.0,41,38,1,-187546.0,0
B10280,402,190,34,Waste,0.0,2570,0.0,30,27,1,-146490.0,0
B10281,413,1,75,Magnetite,60.74,1578,253.01,37,23,0,304569.77999999997,1
B10282,44,117,79,Hematite,61.62,1108,317.99,33,23,0,290284.92,1
B10283,401,307,72,Hematite,61.78,1979,340.12,68,22,0,494987.48,1
B10284,205,51,76,Magnetite,61.81,2109,262.3,43,30,0,399233.7,1
B10285,61,14,75,Hematite,64.79,2566,339.29,64,23,0,647376.14,1
B10286,419,423,89,Hematite,56.22,2790,324.72,42,28,0,710668.8,1
B10287,355,283,14,Magnetite,50.24,1643,267.46,32,27,0,342499.77999999997,1
B10288,467,478,67,Waste,0.0,2283,0.0,40,32,1,-164376.0,0
B10289,307,95,48,Hematite,63.23,1554,275.81,68,22,0,288748.74,1
B10290,18,97,73,Hematite,62.43,1381,304.21,42,22,0,331730.00999999995,1
B10291,364,54,47,Waste,0.0,1668,0.0,41,35,1,-126768.0,0
B10292,299,433,43,Waste,0.0,1956,0.0,63,39,1,-199512.0,0
B10293,6,277,37,Hematite,50.5,2401,306.19,63,23,0,528676.19,1
B10294,248,412,11,Magnetite,51.76,2168,288.93,30,27,0,502824.24,1
B10295,427,244,59,Hematite,51.01,2618,329.02,63,20,0,644080.36,1
B10296,116,327,85,Waste,0.0,1090,0.0,53,28,1,-88290.0,0
B10297,67,469,37,Hematite,51.47,2049,333.1,66,38,0,469425.9,1
B10298,33,395,63,Waste,0.0,2299,0.0,38,35,1,-167827.0,0
B10299,193,470,93,Hematite,55.2,2137,299.67,65,28,0,441653.79000000004,1
B10300,324,37,14,Hematite,60.01,1847,269.11,64,32,0,319734.17000000004,1
B10301,54,119,35,Hematite,51.08,1322,258.86,45,21,0,254960.92,1
B10302,265,257,68,Magnetite,58.99,2062,258.95,47,28,0,379304.89999999997,1
B10303,479,139,67,Waste,0.0,2710,0.0,65,31,1,-260160.0,0
B10304,41,182,89,Magnetite,58.62,2723,346.17,64,32,0,681212.91,1
B10305,296,212,42,Waste,0.0,1663,0.0,60,30,1,-149670.0,0
B10306,460,125,18,Hematite,56.16,2495,314.77,65,28,0,553316.1499999999,1
B10307,230,139,77,Hematite,64.17,1304,332.01,51,23,0,336445.04,1
B10308,452,108,90,Waste,0.0,1960,0.0,55,24,1,-154840.0,0
B10309,377,478,37,Hematite,61.63,1412,317.73,55,37,0,318730.76,1
B10310,393,8,25,Magnetite,58.12,2702,324.64,52,23,0,674527.2799999999,1
B10311,9,462,86,Hematite,52.64,2291,306.72,34,30,0,556071.52,1
B10312,357,31,48,Hematite,53.46,1499,272.18,43,22,0,310562.82,1
B10313,474,234,60,Magnetite,50.22,1574,255.72,56,20,0,282879.27999999997,1
B10314,443,72,65,Magnetite,64.98,2282,321.14,47,33,0,550281.48,1
B10315,127,471,76,Hematite,54.78,2807,305.4,62,32,0,593399.7999999999,1
B10316,178,135,11,Magnetite,62.44,2212,322.76,35,32,0,565741.12,1
B10317,404,253,35,Waste,0.0,2057,0.0,48,36,1,-172788.0,0
B10318,391,115,66,Hematite,61.87,2990,310.54,63,35,0,635494.6000000001,1
B10319,192,155,67,Hematite,55.59,1572,305.05,66,27,0,333342.60000000003,1
B10320,91,439,30,Hematite,63.2,2324,270.43,54,29,0,435587.32,1
B10321,368,81,40,Magnetite,53.59,2778,324.79,47,37,0,668914.6200000001,1
B10322,230,106,27,Hematite,61.49,1810,255.23,55,20,0,326216.3,1
B10323,77,228,74,Hematite,64.32,2441,304.72,66,35,0,497280.5200000001,1
B10324,84,291,46,Hematite,64.2,1200,274.11,41,38,0,234132.00000000003,1
B10325,29,116,55,Magnetite,51.24,1738,268.74,37,20,0,368004.12,1
B10326,212,420,79,Magnetite,57.56,2271,332.49,46,22,0,600656.79,1
B10327,48,287,28,Waste,0.0,2942,0.0,61,24,1,-250070.0,0
B10328,264,212,14,Magnetite,59.77,2617,289.6,57,30,0,530204.2000000001,1
B10329,144,166,84,Magnetite,51.98,2776,302.28,48,27,0,630929.2799999999,1
B10330,68,48,13,Waste,0.0,2075,0.0,41,28,1,-143175.0,0
B10331,57,220,15,Waste,0.0,2065,0.0,50,31,1,-167265.0,0
B10332,184,401,90,Hematite,56.51,1357,256.62,57,35,0,223389.34,1
B10333,61,278,27,Magnetite,57.71,1842,326.99,36,36,0,469691.58,1
B10334,478,288,77,Magnetite,52.15,2546,256.19,57,34,0,420573.74,1
B10335,307,367,35,Magnetite,59.23,1564,313.54,40,34,0,374640.56000000006,1
B10336,444,456,9,Magnetite,57.57,2463,322.87,67,29,0,558780.81,1
B10337,295,491,46,Hematite,63.46,2513,343.08,31,35,0,696302.0399999999,1
B10338,165,178,53,Magnetite,50.98,2539,266.34,44,23,0,506124.25999999995,1
B10339,170,170,8,Magnetite,63.27,2024,341.68,67,28,0,499280.32,1
B10340,62,485,91,Magnetite,62.96,1302,294.68,68,32,0,253473.36000000002,1
B10341,146,3,13,Waste,0.0,1198,0.0,67,26,1,-111414.0,0
B10342,483,335,63,Magnetite,51.45,1716,330.81,37,33,0,447549.96,1
B10343,305,194,82,Hematite,63.49,1087,315.59,42,22,0,273478.32999999996,1
B10344,160,455,56,Magnetite,60.27,2083,342.25,53,29,0,542100.75,1
B10345,140,463,76,Hematite,64.95,2207,299.51,46,25,0,504321.57,1
B10346,333,380,55,Hematite,58.52,1840,291.44,54,30,0,381689.6,1
B10347,96,257,50,Waste,0.0,2411,0.0,35,32,1,-161537.0,0
B10348,445,44,54,Waste,0.0,1905,0.0,40,32,1,-137160.0,0
B10349,220,466,38,Hematite,50.67,1613,315.36,38,34,0,392539.68,1
B10350,42,343,51,Hematite,61.17,1638,293.84,64,28,0,330613.92,1
B10351,432,207,62,Waste,0.0,1536,0.0,43,26,1,-105984.0,0
B10352,291,114,60,Magnetite,51.43,2159,270.29,43,27,0,432426.11000000004,1
B10353,377,423,66,Hematite,56.26,2934,346.51,43,32,0,796610.34,1
B10354,107,129,70,Hematite,59.99,2327,331.29,47,38,0,573116.8300000001,1
B10355,265,159,27,Magnetite,58.53,1802,299.38,36,39,0,404332.76,1
B10356,94,0,13,Waste,0.0,1167,0.0,50,23,1,-85191.0,0
B10357,261,496,36,Hematite,53.43,2963,253.24,55,27,0,507384.12000000005,1
B10358,312,273,51,Magnetite,60.26,1103,319.17,40,36,0,268216.51,1
B10359,384,486,21,Hematite,57.9,2238,321.29,51,30,0,537769.02,1
B10360,70,447,94,Magnetite,58.6,1529,301.37,43,33,0,344590.73,1
B10361,441,159,0,Magnetite,51.37,2027,275.97,41,22,0,431690.19000000006,1
B10362,218,264,75,Waste,0.0,1995,0.0,63,29,1,-183540.0,0
B10363,20,310,87,Hematite,56.67,2870,311.61,35,37,0,687680.7000000001,1
B10364,91,322,93,Hematite,51.1,1487,284.86,58,21,0,306113.82,1
B10365,126,247,53,Magnetite,51.94,1203,293.91,52,38,0,245303.73000000004,1
B10366,79,23,45,Waste,0.0,1516,0.0,45,23,1,-103088.0,0
B10367,311,376,90,Magnetite,61.75,2601,284.87,38,36,0,548472.87,1
B10368,237,266,79,Magnetite,62.57,2184,346.49,57,23,0,582014.16,1
B10369,470,155,84,Magnetite,53.03,1946,272.51,59,36,0,345434.45999999996,1
B10370,371,271,67,Magnetite,64.11,1598,319.78,67,23,0,367188.43999999994,1
B10371,403,92,65,Hematite,60.99,2111,338.29,42,26,0,570582.1900000001,1
B10372,485,360,84,Hematite,57.41,2557,281.29,38,25,0,558167.53,1
B10373,181,11,6,Magnetite,59.77,1116,316.7,60,35,0,247417.19999999998,1
B10374,24,237,70,Magnetite,63.62,1441,330.66,46,24,0,375611.06000000006,1
B10375,155,120,65,Waste,0.0,1127,0.0,38,29,1,-75509.0,0
B10376,4,451,75,Magnetite,60.88,2923,339.7,64,39,0,691874.1,1
B10377,119,89,0,Magnetite,60.83,1276,294.54,53,22,0,280133.04000000004,1
B10378,276,387,2,Magnetite,59.94,1475,328.51,30,23,0,406377.25,1
B10379,17,74,0,Hematite,52.19,2783,342.22,31,28,0,788201.2600000001,1
B10380,430,321,34,Waste,0.0,1633,0.0,39,24,1,-102879.0,0
B10381,197,30,15,Hematite,59.06,2160,264.19,59,39,0,358970.4,1
B10382,56,439,7,Hematite,58.61,1811,343.53,58,24,0,473630.82999999996,1
B10383,92,433,20,Waste,0.0,2244,0.0,31,20,1,-114444.0,0
B10384,18,194,4,Hematite,63.26,1758,289.4,48,26,0,378673.19999999995,1
B10385,383,88,55,Hematite,60.68,2848,275.62,50,30,0,557125.76,1
B10386,352,97,30,Hematite,54.85,1285,287.72,49,34,0,263065.2,1
B10387,192,128,89,Hematite,60.94,1860,312.21,62,31,0,407730.6,1
B10388,236,452,0,Magnetite,58.85,1884,255.8,35,36,0,348163.2,1
B10389,386,294,86,Hematite,59.77,2942,259.32,48,20,0,562863.44,1
B10390,425,435,12,Hematite,56.54,2198,305.9,44,29,0,511914.19999999995,1
B10391,276,94,31,Hematite,51.8,1579,338.37,62,22,0,401650.23,1
B10392,226,163,68,Hematite,58.62,1454,274.85,64,25,0,270225.9,1
B10393,232,450,83,Magnetite,63.3,1935,300.88,53,20,0,440947.8,1
B10394,39,229,50,Hematite,51.88,2322,339.59,52,31,0,595801.98,1
B10395,322,139,91,Magnetite,61.74,1904,328.1,34,25,0,512366.4,1
B10396,152,316,6,Magnetite,52.9,2264,255.11,30,25,0,453049.04000000004,1
B10397,126,463,57,Magnetite,56.49,2109,271.17,60,33,0,375760.53,1
B10398,236,327,76,Waste,0.0,2801,0.0,64,26,1,-252090.0,0
B10399,485,394,31,Magnetite,51.93,1579,313.81,42,27,0,386554.99,1
B10400,492,108,17,Hematite,56.37,1165,314.11,41,28,0,285553.15,1
B10401,54,13,45,Magnetite,59.54,1740,340.28,37,23,0,487687.19999999995,1
B10402,467,474,7,Magnetite,58.86,1816,290.58,67,22,0,366069.27999999997,1
B10403,435,465,92,Hematite,59.95,1165,346.85,58,20,0,313210.25,1
B10404,171,437,83,Magnetite,61.82,2566,297.75,46,23,0,586972.5,1
B10405,108,391,25,Hematite,50.29,2707,346.04,43,36,0,722877.28,1
B10406,353,160,17,Waste,0.0,2023,0.0,31,28,1,-119357.0,0
B10407,468,131,45,Hematite,52.8,2117,261.94,54,24,0,389400.98,1
B10408,183,112,1,Magnetite,63.88,2635,327.37,60,25,0,638644.9500000001,1
B10409,438,285,46,Hematite,56.98,2743,273.01,44,25,0,559599.4299999999,1
B10410,367,339,48,Magnetite,57.19,2133,290.05,37,39,0,456568.65,1
B10411,470,93,57,Magnetite,63.34,2092,315.61,52,33,0,482436.12000000005,1
B10412,197,346,87,Magnetite,55.08,2547,339.04,69,39,0,588458.88,1
B10413,370,88,7,Magnetite,55.12,1927,295.4,49,39,0,399659.79999999993,1
B10414,372,309,21,Waste,0.0,2888,0.0,60,32,1,-265696.0,0
B10415,460,133,97,Hematite,54.68,2858,283.78,36,30,0,622415.2399999999,1
B10416,496,260,95,Hematite,64.46,2681,315.36,52,28,0,631000.16,1
B10417,86,205,98,Waste,0.0,2063,0.0,46,38,1,-173292.0,0
B10418,200,306,24,Waste,0.0,1239,0.0,66,25,1,-112749.0,0
B10419,336,397,70,Magnetite,63.72,1095,348.55,67,34,0,271067.25,1
B10420,321,33,77,Waste,0.0,1829,0.0,32,37,1,-126201.0,0
B10421,274,168,43,Waste,0.0,1277,0.0,47,22,1,-88113.0,0
B10422,210,344,28,Waste,0.0,2807,0.0,52,33,1,-238595.0,0
B10423,390,422,6,Waste,0.0,2344,0.0,40,30,1,-164080.0,0
B10424,117,145,96,Magnetite,52.96,2617,264.64,53,25,0,488436.87999999995,1
B10425,190,19,80,Hematite,50.07,2105,315.54,36,37,0,510546.70000000007,1
B10426,41,106,82,Hematite,52.6,1615,325.46,58,34,0,377037.89999999997,1
B10427,41,135,24,Magnetite,55.06,2359,267.74,38,36,0,457032.66000000003,1
B10428,314,25,7,Waste,0.0,2908,0.0,37,32,1,-200652.0,0
B10429,275,245,75,Hematite,52.88,2087,328.23,47,39,0,505534.01,1
B10430,328,340,2,Magnetite,62.98,2832,256.43,32,39,0,525137.76,1
B10431,16,154,30,Hematite,62.31,1673,287.32,41,24,0,371941.36,1
B10432,282,415,71,Hematite,57.17,1453,345.65,48,25,0,396160.44999999995,1
B10433,430,41,67,Hematite,63.61,1118,309.7,56,21,0,260158.59999999998,1
B10434,257,177,31,Magnetite,63.02,2474,314.43,69,38,0,513181.82,1
B10435,62,80,6,Waste,0.0,2476,0.0,48,26,1,-183224.0,0
B10436,61,176,13,Hematite,55.8,2202,270.68,53,24,0,426483.36,1
B10437,99,192,33,Magnetite,57.39,1522,257.06,65,25,0,254265.32,1
B10438,18,190,68,Hematite,50.27,2504,264.43,46,25,0,484348.72000000003,1
B10439,16,282,11,Waste,0.0,2207,0.0,62,20,1,-180974.0,0
B10440,324,245,36,Magnetite,50.97,2183,254.44,42,33,0,391717.52,1
B10441,422,99,26,Waste,0.0,1338,0.0,42,38,1,-107040.0,0
B10442,465,458,84,Magnetite,57.33,1883,262.03,52,29,0,340879.48999999993,1
B10443,372,488,76,Magnetite,52.14,1006,251.82,52,25,0,175868.91999999998,1
B10444,245,488,88,Hematite,54.74,2499,256.49,54,24,0,446046.51,1
B10445,250,34,33,Hematite,50.13,1840,279.86,32,28,0,404542.4,1
B10446,454,293,41,Waste,0.0,2042,0.0,68,23,1,-185822.0,0
B10447,80,293,63,Hematite,59.95,2451,337.42,37,24,0,677505.42,1
B10448,38,41,47,Hematite,59.57,2402,256.84,31,25,0,482417.67999999993,1
B10449,35,169,16,Magnetite,51.63,1979,251.77,69,35,0,292436.83,1
B10450,423,432,20,Magnetite,56.47,2331,256.28,50,37,0,394591.67999999993,1
B10451,428,494,14,Magnetite,59.3,2512,271.1,46,30,0,490091.20000000007,1
B10452,387,56,25,Waste,0.0,2103,0.0,30,29,1,-124077.0,0
B10453,485,355,32,Waste,0.0,1506,0.0,45,38,1,-124998.0,0
B10454,408,53,98,Magnetite,58.24,2401,333.07,58,26,0,598017.07,1
B10455,196,393,89,Hematite,53.53,2191,258.74,38,25,0,428866.34,1
B10456,157,187,11,Hematite,63.39,2439,271.67,40,38,0,472361.13000000006,1
B10457,203,295,21,Magnetite,57.56,1144,334.98,65,25,0,280257.12,1
B10458,195,384,73,Magnetite,60.52,2649,326.34,34,32,0,689640.6599999999,1
B10459,215,375,72,Magnetite,59.46,2190,284.3,36,31,0,475887.0,1
B10460,284,85,99,Hematite,56.2,1845,299.14,41,26,0,428298.3,1
B10461,456,63,97,Hematite,54.44,2284,254.42,68,31,0,354979.27999999997,1
B10462,195,80,84,Hematite,54.71,1405,335.01,66,28,0,338619.05,1
B10463,306,267,96,Hematite,51.66,1164,290.47,54,23,0,248479.08000000005,1
B10464,151,491,73,Magnetite,57.09,1471,289.3,52,27,0,309351.3,1
B10465,13,184,44,Magnetite,50.09,2265,265.5,30,24,0,479047.5,1
B10466,324,460,6,Magnetite,52.94,1492,318.78,64,37,0,324927.75999999995,1
B10467,145,344,62,Hematite,63.76,1711,271.58,38,23,0,360302.37999999995,1
B10468,425,25,27,Magnetite,53.54,1974,271.27,64,27,0,355852.98,1
B10469,56,237,81,Hematite,62.66,2999,301.72,65,20,0,649943.28,1
B10470,210,295,78,Hematite,53.05,2525,297.21,38,36,0,563605.25,1
B10471,267,365,39,Hematite,51.84,1790,293.63,46,23,0,402087.7,1
